,name,mTurkID,subID,drive_name,drive_index,time,SurveyPage_Question1,SurveyPage_Question2,SurveyPage_Question3,SurveyPage_Question4,SurveyPage_Question5,SurveyPage_Question6,SurveyPage_Question7,SurveyPage_Question8,SurveyPage_Question9,SurveyPage_Question10,SurveyPage_Question11,SurveyPage_Question12,SurveyPage_Question13,SurveyPage_Question14,SurveyPage_Question16,SurveyPage_Question15
27,['value'],[' p189'],['327'],['4311'],['2'],['Wed Feb 15 2023 19:09:16 GMT-0600 (Central Standard Time)'],['Orange'],['Scooter'],['36-45'],['Male'],"['Other', 'Transportation']",['High_school_degree_or_equivalent'],['1'],['1'],['2'],['2'],['0'],,['none'],,['Yes'],['none']
28,['value'],[' p135'],['170'],['1400'],['2'],['Fri Feb 10 2023 20:07:19 GMT-0600 (Central Standard Time)'],['Orange'],['Self-driving Scooter'],['26-35'],['Male'],"['Other', 'Wholesale Trade']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],"['1', '3', '4']",['4'],['none'],['4'],['No'],
29,['value'],[' p7'],['201'],['1401'],['2'],['Fri Feb 10 2023 21:26:41 GMT-0500 (hora estándar oriental)'],['Orange'],['scooter self driving'],['26-35'],['Male'],['Engineering'],"[""Bachelor's_degree(e.g. BA; BS)""]",['2'],['2'],['2'],['2'],['0'],['7'],['none'],['7'],['Yes'],
30,['value'],[' p239'],['82'],['2100'],['2'],['Tue Jan 31 2023 13:24:04 GMT-0500 (Eastern Standard Time)'],['Orange'],['self driving scooter'],['26-35'],['Female'],"['Other', 'legal']",['High_school_degree_or_equivalent'],['0'],['2'],['2'],['2'],['0'],,['Electric_bike'],['5'],['Yes'],
31,['value'],[' p119'],['227'],['4301'],['2'],['Wed Feb 15 2023 19:24:21 GMT-0500 (Eastern Standard Time)'],['Orange'],['Self-driving scooter'],['26-35'],['Male'],['Technology'],['High_school_degree_or_equivalent'],['2'],['2'],['2'],['2'],['0'],['4'],['none'],['4'],['Yes'],['n/a']
32,['value'],[' p244'],['287'],['3211'],['2'],['Wed Feb 15 2023 19:25:23 GMT-0500 (Eastern Standard Time)'],['Orange'],['Scooter'],['26-35'],['Male'],"['Other', 'Unemployed']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['0'],['1'],['6'],['none'],,['Yes'],
33,['value'],[' p141'],['191'],['3211'],['2'],['Fri Feb 10 2023 19:21:57 GMT-0700 (Mountain Standard Time)'],['Orange'],['scooter'],['36-45'],['Female'],"['Other', 'business']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['2'],['2'],"['1', '2', '4']",['6'],['Electricscooter'],['6'],['Yes'],['no']
34,['value'],[' p175'],['167'],['4311'],['2'],['Fri Feb 10 2023 21:05:35 GMT-0500 (Eastern Standard Time)'],['Orange'],['autonomous scooter'],[' 56'],['Male'],['Technology'],['Associate degree'],['2'],['2'],['2'],['2'],['4'],['7'],['none'],,['Yes'],
35,['value'],[' p58'],['47'],['1411'],['2'],['Mon Jan 30 2023 15:37:40 GMT-0800 (Pacific Standard Time)'],['Orange'],['electric scooter'],[' 56'],['Male'],['Engineering'],['Doctoral_degree (e.g. PhD; EdD)'],['2'],['2'],['2'],['2'],['1'],['4'],['Electricscooter'],['6'],['Yes'],
36,['value'],[' p138'],['275'],['2101'],['2'],['Wed Feb 15 2023 18:25:16 GMT-0600 (CST)'],['Orange'],['Self driving scooter'],['36-45'],['Female'],"['Other', 'Business']",['Associate degree'],['1'],['1'],['0'],['0'],['2'],['5'],['none'],['4'],['Yes'],
37,['value'],[' p247'],['89'],['3201'],['2'],['Tue Jan 31 2023 19:24:15 GMT 0100 (Central European Standard Time)'],['Blue'],['self driving scooter'],['18-25'],['Male'],['Education'],['High_school_degree_or_equivalent'],['1'],['2'],['2'],['2'],"['1', '3', '4']",['6'],['none'],['6'],['Yes'],['no']
38,['value'],[' p40'],['25'],['3201'],['2'],['Mon Jan 30 2023 18:10:27 GMT-0500 (Eastern Standard Time)'],['Orange'],['Electric Scooter'],['26-35'],['Female'],['Technology'],['High_school_degree_or_equivalent'],['0'],['0'],['0'],['1'],['0'],['4'],['none'],['4'],['Yes'],"[""I don't like the self driving scooter. It goes too fast.""]"
39,['value'],[' p187'],['95'],['3211'],['2'],['Tue Jan 31 2023 12:24:19 GMT-0600 (Central Standard Time)'],['Orange'],['scooter'],['36-45'],['Female'],['Liberal Arts'],['High_school_degree_or_equivalent'],['2'],['1'],['1'],['1'],['0'],['4'],['none'],['4'],['Yes'],
40,['value'],[' p60'],['314'],['3200'],['2'],['Wed Feb 15 2023 19:30:02 GMT-0500 (Eastern Standard Time)'],['Orange'],['self driving scooter'],['26-35'],['Male'],['Technology'],"[""Bachelor's_degree(e.g. BA; BS)""]",['0'],['1'],['1'],['1'],"['2', '3']",['6'],"['Electricscooter', 'Segway']",['6'],['Yes'],['no']
41,['value'],[' p113'],['225'],['4301'],['2'],['Wed Feb 15 2023 19:24:13 GMT-0500 (Eastern Standard Time)'],['Orange'],['self driving scooter'],['26-35'],['Male'],['Technology'],"[""Bachelor's_degree(e.g. BA; BS)""]",['0'],['0'],['0'],['1'],['0'],,['none'],,['Yes'],['none']
42,['value'],[' p5'],['28'],['3210'],['2'],['Mon Jan 30 2023 15:16:19 GMT-0800 (Pacific Standard Time)'],['Blue'],['scooter'],[' 56'],['Male'],"['Other', 'finance']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],['0'],['4'],['Electricscooter'],['5'],['Yes'],['computer simulation is different actual.  avid cyclist who rides on street;']
43,['value'],[' p84'],['162'],['4300'],['2'],['Fri Feb 10 2023 21:04:00 GMT-0500 (Eastern Standard Time)'],['Blue'],['self driving scooter'],['36-45'],['Male'],"['Other', 'Real Estate']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['1'],['1'],['6'],['none'],,['Yes'],['I just wanted to comment on the first section of the scooter interaction with the delivery robot. My answers for this section about the interaction with the delivery robot were based on the fact that the delivery robot kept going straight. Even though it did not move out of the way of the scooter; I figured that the delivery robot was just going to keep going straight; so I was happy with the interaction. I did not anticipate that the robot would move and was ready to break if I had to. The scooter moved out of the way automatically. However; as I said before; I was happy that the delivery robot did not make a sudden movement towards me as I moved; and just kept going straight. This made it easy to move out of the way of it. ']
44,['value'],[' p18'],['42'],['1400'],['2'],['Mon Jan 30 2023 18:32:53 GMT-0500 (Eastern Standard Time)'],['Orange'],['e-scooter'],['18-25'],['Female'],"['Other', 'social work']",['High_school_degree_or_equivalent'],['0'],['1'],['2'],['2'],['4'],['6'],['Electricscooter'],['5'],['Yes'],
45,['value'],[' p65'],['156'],['3210'],['2'],['Fri Feb 10 2023 17:59:49 GMT-0800 (Pacific Standard Time)'],['Orange'],['self driving scooter'],['26-35'],['Female'],"['Other', 'unemployed']","[""Bachelor's_degree(e.g. BA; BS)""]",['0'],['0'],['0'],['1'],['0'],,['none'],,['Yes'],
46,['value'],[' p25'],['239'],['1411'],['2'],['Wed Feb 15 2023 19:24:43 GMT-0500 (Eastern Standard Time)'],['Orange'],['self driving segway'],['36-45'],['Male'],"['Other', 'wholesale trade']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['2'],['1'],['3'],['5'],['none'],['5'],['Yes'],['n/a']
47,['value'],[' p116'],['123'],['3201'],['2'],['Fri Feb 10 2023 17:29:18 GMT-0800 (Pacific Standard Time)'],['Orange'],['scooter'],['46-55'],['Female'],"['Other', 'captioner']","[""Master's_degree (e.g. MA; MS; MEd)""]",['1'],['1'],['1'],['2'],['1'],['4'],['none'],,['Yes'],['none']
48,['value'],[' p137'],['249'],['3201'],['2'],['Wed Feb 15 2023 16:24:53 GMT-0800 (Pacific Standard Time)'],['Orange'],['Automous scooter'],[' 56'],['Male'],['Engineering'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['2'],['2'],['2'],['0'],,['Electric_bike'],['7'],['Yes'],['You should get a native speaker to go over your questions.']
49,['value'],[' p314'],['81'],['2101'],['2'],['Tue Jan 31 2023 12:24:02 GMT-0600 (Central Standard Time)'],['Orange'],['Scooter'],['26-35'],['Male'],['Technology'],['Associate degree'],['1'],['0'],['1'],['0'],"['1', '3', '4']",['6'],['Electricscooter'],['7'],['Yes'],
50,['value'],[' p238'],['16'],['2100'],['2'],['Mon Jan 30 2023 15:57:23 GMT-0500 (Eastern Standard Time)'],['Orange'],['self driving scooter'],['18-25'],['Male'],"['Other', 'retail']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['1'],['0'],,['none'],,['Yes'],
51,['value'],[' p144'],['195'],['4301'],['2'],['Fri Feb 10 2023 21:23:36 GMT-0500 (Eastern Standard Time)'],['Blue'],['mobility scooter'],['26-35'],['Male'],['Technology'],['High_school_degree_or_equivalent'],['1'],['0'],['1'],['1'],['1'],['4'],['Electric_bike'],['6'],['Yes'],['I do not get why a mobility scooter would blow through stop signs and generally not stop to check for traffic. This would make me distrust it a lot.']
52,['value'],[' p313'],['33'],['4301'],['2'],['Mon Jan 30 2023 18:25:53 GMT-0500 (Eastern Standard Time)'],['Orange'],['scooter'],[' 56'],['Female'],['Technology'],['Associate degree'],['0'],['2'],['2'],['2'],['0'],['7'],['none'],['7'],['Yes'],['no']
53,['value'],[' p245'],['125'],['3211'],['2'],['Fri Feb 10 2023 18:30:32 GMT-0700 (Mountain Standard Time)'],['Orange'],['Segway'],['36-45'],['Male'],"['Other', 'Truck driver']",['High_school_degree_or_equivalent'],['0'],['1'],['1'],['1'],['2'],['7'],"['Electricscooter', 'Electric_skateboard_similar']",['7'],['Yes'],['No']
54,['value'],[' p248'],['30'],['3210'],['2'],['Mon Jan 30 2023 17:17:13 GMT-0600 (Central Standard Time)'],['Orange'],['Scooter.  Hope I am describing that right'],['46-55'],['Female'],"['Other', 'Animal Welfare']",['High_school_degree_or_equivalent'],['1'],['1'],['2'],['2'],['0'],['5'],['none'],['4'],['Yes'],['Thank you.  This was interesting']
55,['value'],[' p312'],['146'],['2100'],['2'],['Fri Feb 10 2023 19:53:04 GMT-0600 (Central Standard Time)'],['Orange'],['scooter'],['36-45'],['Female'],['Science'],['Doctoral_degree (e.g. PhD; EdD)'],['2'],['2'],['2'],['1'],"['1', '2', '4']",['7'],['none'],['4'],['Yes'],
56,['value'],[' p255'],['173'],['1411'],['2'],['Fri Feb 10 2023 21:09:52 GMT-0500 (Eastern Standard Time)'],['Orange'],['Automated scooter'],['18-25'],['Male'],"['Other', 'Political science']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['2'],['1'],['5'],['Electricscooter'],['4'],['Yes'],
57,['value'],[' p11'],['53'],['2111'],['2'],['Mon Jan 30 2023 18:41:29 GMT-0500 (Eastern Standard Time)'],['Orange'],['Autonomous Sidewalk Something'],['26-35'],['Female'],"['Education', 'Social Work']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['0'],['0'],['4'],['none'],['4'],['Yes'],['There were a few typos/tense inconsistencies in the words in the study. In the very first video that introduced how it would work; when there were circles showing pedestrians; delivery robots and cars; there were not actually any of those things in the circles.']
