,a_1,oa_2,ow_0,ow_1,ow_2,diff,ror_ow0,ror_ow1,ror_ow2
47,1,0,5.57142857142857,2.85714285714286,6.42857142857143,1,4.57142857142857,4.71428571428571,5.57142857142857
48,1,1,5.85714285714286,5.85714285714286,5.85714285714286,0,5.85714285714286,5.85714285714286,5.85714285714286
49,1,0,3.28571428571429,3.28571428571429,3.28571428571429,1,4,4.28571428571429,4.14285714285714
50,1,0,6.57142857142857,7,7,1,6.42857142857143,6.57142857142857,6.85714285714286
51,1,0,3.85714285714286,4,4.14285714285714,1,4.14285714285714,6.28571428571429,6.57142857142857
52,1,1,5.57142857142857,5.85714285714286,5,0,5.57142857142857,5.85714285714286,5
53,1,1,3.85714285714286,4.85714285714286,5.42857142857143,0,3.85714285714286,4.85714285714286,5.42857142857143
54,0,1,4,4.28571428571429,4.14285714285714,-1,3.28571428571429,3.28571428571429,3.28571428571429
55,0,0,7,7,7,0,7,7,7
56,1,0,1.71428571428571,2.85714285714286,2.14285714285714,1,5.28571428571429,6.14285714285714,5.42857142857143
57,1,0,5.42857142857143,5.42857142857143,6,1,6.85714285714286,6.57142857142857,5.42857142857143
58,0,0,5.28571428571429,4.57142857142857,6.42857142857143,0,5.28571428571429,4.57142857142857,6.42857142857143
59,0,1,6.42857142857143,6.57142857142857,6.85714285714286,-1,6.57142857142857,7,7
60,0,0,3.42857142857143,4.57142857142857,3.85714285714286,0,3.42857142857143,4.57142857142857,3.85714285714286
61,1,1,6.14285714285714,6,6,0,6.14285714285714,6,6
62,1,1,4.71428571428571,5,5.14285714285714,0,4.71428571428571,5,5.14285714285714
63,0,1,4.14285714285714,6.28571428571429,6.57142857142857,-1,3.85714285714286,4,4.14285714285714
64,0,0,5.71428571428571,3.57142857142857,4.71428571428571,0,5.71428571428571,3.57142857142857,4.71428571428571
65,1,0,3.42857142857143,2.85714285714286,5.28571428571429,1,2.28571428571429,3.85714285714286,3.14285714285714
66,0,0,3.85714285714286,4.14285714285714,4.57142857142857,0,3.85714285714286,4.14285714285714,4.57142857142857
67,1,0,7,7,7,1,3.71428571428571,3.85714285714286,3.42857142857143
68,1,1,6.28571428571429,5.85714285714286,6,0,6.28571428571429,5.85714285714286,6
69,1,1,5.57142857142857,5.42857142857143,6.14285714285714,0,5.57142857142857,5.42857142857143,6.14285714285714
70,0,0,3.85714285714286,3.14285714285714,6.71428571428571,0,3.85714285714286,3.14285714285714,6.71428571428571
71,0,1,5.28571428571429,6.14285714285714,5.42857142857143,-1,1.71428571428571,2.85714285714286,2.14285714285714
72,1,0,5.14285714285714,4.57142857142857,5.57142857142857,1,6.28571428571429,6.14285714285714,6.14285714285714
73,0,1,6.85714285714286,6.57142857142857,5.42857142857143,-1,5.42857142857143,5.42857142857143,6
74,1,1,3.71428571428571,3.85714285714286,3.57142857142857,0,3.71428571428571,3.85714285714286,3.57142857142857
75,0,1,2.28571428571429,3.85714285714286,3.14285714285714,-1,3.42857142857143,2.85714285714286,5.28571428571429
76,1,0,5.85714285714286,4.14285714285714,5.71428571428571,1,3,4.28571428571429,3.57142857142857
77,0,1,3.71428571428571,3.85714285714286,3.42857142857143,-1,7,7,7
78,1,0,3.85714285714286,3.71428571428571,3.71428571428571,1,5.57142857142857,4.14285714285714,4.14285714285714
79,0,0,5.14285714285714,5.85714285714286,5.85714285714286,0,5.14285714285714,5.85714285714286,5.85714285714286
80,0,0,4.85714285714286,4.28571428571429,4.28571428571429,0,4.85714285714286,4.28571428571429,4.28571428571429
81,0,1,6.28571428571429,6.14285714285714,6.14285714285714,-1,5.14285714285714,4.57142857142857,5.57142857142857
82,0,0,5.57142857142857,3.71428571428571,3.28571428571429,0,5.57142857142857,3.71428571428571,3.28571428571429
83,1,0,3.42857142857143,2.14285714285714,4,1,5.14285714285714,5.14285714285714,4.14285714285714
84,1,0,5.42857142857143,3.85714285714286,4.85714285714286,1,6.14285714285714,6.71428571428571,7
85,0,1,3,4.28571428571429,3.57142857142857,-1,5.85714285714286,4.14285714285714,5.71428571428571
86,1,0,3.14285714285714,3.85714285714286,3.57142857142857,1,4.42857142857143,5.14285714285714,5.85714285714286
87,0,1,5.57142857142857,4.14285714285714,4.14285714285714,-1,3.85714285714286,3.71428571428571,3.71428571428571
88,0,0,6.71428571428571,5.28571428571429,7,0,6.71428571428571,5.28571428571429,7
89,1,1,6.14285714285714,7,6.14285714285714,0,6.14285714285714,7,6.14285714285714
